"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2019","11,358.71","10,855.60","11,428.42","10,809.28","42.80B","4.89%"
"09/01/2019","10,829.68","10,613.19","10,971.54","10,557.03","43.18B","1.99%"
"08/01/2019","10,618.05","10,773.06","10,773.25","10,180.04","50.20B","-1.90%"
"07/01/2019","10,823.81","10,821.30","10,994.44","10,680.85","49.44B","0.87%"
"06/01/2019","10,730.83","10,482.45","10,840.29","10,371.08","35.25B","2.21%"
"05/01/2019","10,498.49","10,992.76","11,097.00","10,227.44","45.49B","-4.28%"
"04/01/2019","10,967.73","10,714.68","11,077.99","10,627.01","46.95B","3.07%"
"03/01/2019","10,641.04","10,385.25","10,667.94","10,204.21","41.82B","2.42%"
"02/01/2019","10,389.17","10,029.84","10,416.91","9,988.83","28.84B","4.60%"
"01/01/2019","9,932.26","9,725.27","10,020.60","9,319.28","34.16B","2.11%"
"12/01/2018","9,727.41","9,979.21","10,148.75","9,473.30","38.31B","-1.62%"
"11/01/2018","9,888.03","9,812.20","10,014.42","9,616.16","43.09B","0.88%"
"10/01/2018","9,802.13","11,014.19","11,064.34","9,400.69","46.24B","-10.94%"
"09/01/2018","11,006.34","11,087.86","11,097.11","10,667.25","38.89B","-0.52%"
"08/01/2018","11,063.94","11,062.36","11,186.05","10,606.26","47.68B","0.06%"
"07/01/2018","11,057.51","10,852.17","11,080.41","10,523.58","48.95B","2.04%"
"06/01/2018","10,836.91","10,882.68","11,261.68","10,633.01","57.35B","-0.35%"
"05/01/2018","10,874.96","10,665.52","11,034.12","10,500.97","55.95B","2.04%"
"04/01/2018","10,657.88","10,936.26","11,016.35","10,478.98","43.41B","-2.40%"
"03/01/2018","10,919.49","10,779.10","11,120.20","10,638.98","52.83B","0.96%"
"02/01/2018","10,815.47","11,139.40","11,212.10","10,189.04","35.35B","-2.60%"
"01/01/2018","11,103.79","10,664.82","11,270.18","10,650.77","64.90B","4.33%"
"12/01/2017","10,642.86","10,591.62","10,665.92","10,322.76","51.15B","0.78%"
